Year,Month,Day,Hour,Latitude,Longitude,WindSpeed,SeaLevelPressure,Distance,Angle,Radius_oci,Radius_34mean,Radius_34quadrant,TCid
1995,8,24,6,27.7,-81.1,18.00555556,1005,314720.4151,140.1865211,333360,NaN,NaN,77
1995,8,24,12,28.4,-81.8,18.00555556,1004,406341.1127,145.0592763,333360,NaN,NaN,77
1995,8,24,18,28.8,-82.6,15.43333333,1002,476096.3919,145.6734418,277800,NaN,NaN,77
1996,6,17,18,26.8,-77.8,12.86111111,1010,351404.5998,94.95872809,277800,NaN,NaN,87
1996,6,18,0,27.7,-78.3,12.86111111,1010,386857.2845,111.3884696,277800,NaN,NaN,87
1996,6,18,6,28.6,-78.8,12.86111111,1009,448532.747,139.8780527,277800,NaN,NaN,87
1996,10,18,0,21.3,-82.8,36.01111111,982,459122.1444,3.404169314,509300,134270,185200,98
1996,10,18,6,21.8,-82.2,38.58333333,980,381435.1665,22.63301527,509300,122695,138900,98
1996,10,18,12,22.4,-81.5,43.72777778,975,292834.8073,52.77303582,509300,125010,138900,98
1996,10,18,18,22.5,-80,41.15555556,975,274423.1246,93.92180943,509300,118065,185200,98
1996,10,19,0,23,-78.2,43.72777778,975,323692.2225,126.940206,509300,173625,277800,98
1996,10,19,6,23.5,-76.2,46.3,970,473684.9969,143.9031961,509300,226870,277800,98
1998,9,24,18,21.9,-78,38.58333333,989,427188.2412,348.8548563,444480,NaN,NaN,114
1998,9,25,0,22.7,-79,41.15555556,987,294745.3441,340.4259456,444480,208350,231500,114
1998,9,25,6,23.4,-80.2,43.72777778,986,172322.8714,312.7835873,444480,208350,231500,114
1998,9,25,12,23.9,-81.3,46.3,982,131730.14,264.0927029,444480,212980,277800,114
1998,9,25,18,24.6,-82.4,46.3,975,183936.562,213.8643451,444480,254650,277800,114
1998,9,26,0,24.8,-83.3,46.3,974,271712.0079,200.6489494,333360,263910,277800,114
1998,9,26,6,25.2,-84.2,46.3,975,363180.2206,201.8525269,333360,263910,277800,114
1998,9,26,12,25.7,-85.1,46.3,974,460014.8789,200.4137446,388920,222240,148160,114
1998,11,5,0,24.8,-84.8,23.15,993,422970.6995,327.3447142,444480,261595,324100,120
1998,11,5,6,25.6,-83.1,25.72222222,990,262150.9943,317.1705952,444480,266225,185200,120
1998,11,5,12,26.6,-81.3,28.29444444,987,200864.4814,270.5578209,444480,215295,185200,120
1998,11,5,18,27.5,-78.3,25.72222222,992,369345.76,199.987348,444480,277800,277800,120
1999,8,27,18,25.9,-75.9,33.43888889,987,485835.1431,47.47885773,277800,175940,55560,125
1999,8,28,0,26.1,-76.2,36.01111111,982,462092.8052,52.04506895,277800,208350,138900,125
1999,8,28,6,26.5,-76.7,38.58333333,976,430032.4213,73.54704595,324100,203720,138900,125
1999,8,28,12,27.1,-77,43.72777778,973,435605.9842,94.75085364,324100,NaN,NaN,125
1999,8,28,18,27.7,-77.3,46.3,969,453313.243,99.93587258,324100,212980,138900,125
1999,8,29,0,28.3,-77.7,46.3,969,475681.4784,114.6366252,324100,224555,185200,125
1999,9,14,12,25.4,-76.3,54.01666667,930,437250.9761,41.78291334,555600,361140,277800,127
1999,9,14,18,26.1,-77,56.58888889,930,385893.0626,68.85980015,555600,282430,231500,127
1999,9,15,0,27.1,-77.7,59.16111111,933,379703.3774,91.50647744,555600,337990,259280,127
1999,9,15,6,28.2,-78.5,56.58888889,935,422311.047,118.7694232,555600,337990,259280,127
1999,9,21,0,27.1,-84.6,25.72222222,995,467625.5148,348.5299163,388920,175940,55560,129
1999,9,21,6,26.5,-83.9,25.72222222,995,374415.8594,5.554904659,388920,162050,NaN,129
1999,9,21,12,26,-82.8,25.72222222,996,251440.1315,347.4558562,388920,185200,NaN,129
1999,9,21,18,25.9,-81.5,25.72222222,999,142357.8344,299.7048728,388920,185200,NaN,129
1999,9,22,0,26.9,-78.6,20.57777778,1000,299431.9881,205.781043,444480,92600,NaN,129
1999,10,14,12,21.3,-82.9,30.86666667,997,464198.9003,8.163669316,444480,115750,185200,130
1999,10,14,18,22.4,-82.4,30.86666667,995,332842.9596,333.8956186,444480,120380,185200,130
1999,10,15,0,23.1,-82.6,30.86666667,988,284819.6168,320.3165429,370400,138900,185200,130
1999,10,15,6,23.8,-82.2,33.43888889,988,202558.9464,336.3732558,370400,166680,222240,130
1999,10,15,12,24.4,-81.8,33.43888889,987,132725.3381,327.6412917,370400,219925,277800,130
1999,10,15,18,25.1,-81.3,33.43888889,986,72917.85593,289.3721843,370400,219925,185200,130
1999,10,16,0,26.1,-80.6,33.43888889,986,132990.6597,209.6134773,333360,219925,138900,130
1999,10,16,6,27,-80.2,33.43888889,985,236631.6002,185.3347045,333360,219925,138900,130
1999,10,16,12,27.8,-80.1,33.43888889,982,325995.7584,180.6415299,333360,219925,138900,130
1999,10,16,18,28.6,-79.9,33.43888889,984,416968.8956,179.7530547,370400,266225,138900,130
2000,9,17,0,25.2,-85.4,33.43888889,985,483687.8655,295.5190553,324100,180570,129640,140
2000,9,17,6,26.1,-84.9,36.01111111,981,450668.2039,284.4926949,370400,219925,185200,140
2000,9,17,12,27.1,-84.3,33.43888889,987,442332.9472,269.3143837,370400,208350,166680,140
2000,9,17,18,28,-83.8,33.43888889,985,468401.1001,252.4264258,370400,171310,166680,140
2000,10,4,12,29,-81.4,15.43333333,1012,462142.9665,241.1178694,166680,NaN,NaN,145
2001,8,2,12,25.7,-84.8,15.43333333,1011,430459.1637,247.9348981,NaN,NaN,NaN,150
2001,8,2,18,26.2,-84.9,23.15,1010,453903.6202,204.3785251,NaN,NaN,NaN,150
2001,9,11,18,25.8,-84.1,12.86111111,1010,364622.3333,154.2935337,NaN,NaN,NaN,155
2001,9,12,0,25.7,-84.6,12.86111111,1009,410804.0197,162.3791057,277800,NaN,NaN,155
2001,9,12,6,25.7,-85,12.86111111,1008,450154.092,161.5939785,277800,NaN,NaN,155
2001,9,12,12,25.6,-85.3,12.86111111,1008,478025.7364,134.6900559,277800,NaN,NaN,155
2001,9,12,18,25.4,-85.4,15.43333333,1007,485316.261,122.7487676,277800,NaN,NaN,155
2001,9,13,6,25.2,-85.3,15.43333333,1005,473638.295,342.3530283,370400,NaN,NaN,155
2001,9,13,12,25.3,-84.9,18.00555556,1003,434261.3397,340.6906968,333360,185200,NaN,155
2001,9,13,18,25.4,-84.5,20.57777778,998,395450.4602,345.6097831,333360,162050,138900,155
2001,9,14,0,25.4,-84.1,23.15,997,355627.5272,327.950201,333360,173625,138900,155
2001,9,14,6,25.8,-83.6,25.72222222,992,316588.9495,294.7449363,333360,162050,138900,155
2001,9,14,12,27.1,-82.6,30.86666667,983,314957.1551,261.4794425,333360,162050,138900,155
2001,9,14,18,28,-81.8,23.15,994,364087.86,239.6930841,333360,150475,92600,155
2001,9,15,0,28.6,-81.4,20.57777778,995,418402.844,248.3825093,370400,231500,NaN,155
2001,9,15,6,28.6,-80.9,20.57777778,995,411985.5571,261.499526,370400,231500,NaN,155
2001,9,15,12,28.9,-80.1,20.57777778,998,447196.1584,230.4581756,370400,200633.3333,NaN,155
2001,11,4,12,20.8,-82.5,61.73333333,947,495758.8825,22.24195101,324100,245390,259280,161
2001,11,4,18,21.5,-81.8,61.73333333,949,397584.2422,27.57114983,324100,282430,333360,161
2001,11,5,0,22.3,-80.9,54.01666667,953,291062.4985,46.33054534,324100,254650,277800,161
2001,11,5,6,23.1,-79.7,41.15555556,972,220850.0344,82.16279084,324100,273170,231500,161
2001,11,5,12,24.3,-78,41.15555556,974,272237.6006,132.0920223,416700,312525,277800,161
2001,11,5,18,25.4,-76.4,38.58333333,980,427268.0666,156.9749934,416700,324100,277800,161
2002,9,5,6,29.2,-81.6,12.86111111,1011,487658.2697,83.32964028,222240,NaN,NaN,168
2002,9,5,12,28.9,-82.4,10.28888889,1011,478492.8818,95.70100857,185200,NaN,NaN,168
2002,9,5,18,28.6,-83.4,10.28888889,1011,495652.878,108.6181799,185200,NaN,NaN,168
2002,9,20,0,20.7,-82.3,38.58333333,979,498549.3454,276.39493649999997,324100,196775,231500,172
2002,9,20,6,21.1,-83,46.3,967,488656.547,271.5442117,324100,152790,231500,172
2002,9,20,12,21.5,-83.5,43.72777778,966,480144.4964,264.6559749,277800,178255,231500,172
2002,9,20,18,21.8,-84,38.58333333,965,488806.1498,259.3441313,277800,196775,231500,172
2002,9,21,0,22.1,-84.3,38.58333333,964,488706.3778,241.6712793,277800,196775,231500,172
2002,10,10,12,28.4,-78.1,12.86111111,1010,461858.1958,67.82404606,222240,NaN,NaN,174
2002,10,10,18,28.9,-79.5,15.43333333,1010,457751.2447,108.1725495,185200,NaN,NaN,174
2002,10,1,0,20.5,-81.1,36.01111111,978,492282.438,291.4033805,277800,159735,222240,175
2002,10,1,6,21,-82.2,38.58333333,970,463648.8722,275.4799498,277800,171310,222240,175
2002,10,1,12,21.6,-83.2,46.3,971,452788.2807,264.373128,277800,180570,222240,175
2002,10,1,18,22.4,-84.4,46.3,971,476006.9995,242.697711,277800,208350,250020,175
2003,8,14,18,26.4,-83.3,18.00555556,1011,316859.9368,155.688525,NaN,NaN,NaN,180
2003,9,6,0,27.9,-83.9,15.43333333,1002,467315.4114,358.2835975,231500,NaN,NaN,183
2003,9,6,6,27.7,-83.5,15.43333333,1005,423885.9842,302.5597475,231500,NaN,NaN,183
2003,9,6,12,28.4,-81.8,12.86111111,1007,406341.1127,262.9844465,231500,NaN,NaN,183
2003,9,6,18,29.2,-80.4,12.86111111,1006,478141.8285,232.3836087,231500,NaN,NaN,183
2004,8,13,0,21.7,-82.2,46.3,976,391550.8724,311.7984162,185200,145845,166680,194
2004,8,13,6,23,-82.6,54.01666667,966,292811.6969,299.193424,185200,145845,166680,194
2004,8,13,12,24.4,-82.9,48.87222222,969,238166.715,286.1013575,185200,152790,166680,194
2004,8,13,18,26.1,-82.4,64.30555556,947,223554.3284,255.6176418,185200,111120,92600,194
2004,8,14,0,28.1,-81.6,38.58333333,970,368792.5614,219.0206793,185200,90285,74080,194
2004,9,3,6,24.7,-75.7,51.44444444,954,496077.1108,37.85676947,370400,268540,277800,197
2004,9,3,12,25.3,-76.3,48.87222222,958,436164.6901,40.7876195,370400,275485,222240,197
2004,9,3,18,25.7,-77.1,46.3,960,363735.045,43.03538661,370400,277800,222240,197
2004,9,4,0,26,-77.5,43.72777778,960,335145.4552,60.6015822,370400,284745,222240,197
2004,9,4,6,26.4,-77.9,43.72777778,960,318482.4307,67.56399998,370400,284745,222240,197
2004,9,4,12,26.8,-78.5,46.3,962,298338.9009,60.38361764,370400,284745,222240,197
2004,9,4,18,26.8,-79.1,46.3,962,259351.1767,64.00351469,370400,287060,231500,197
2004,9,5,0,27,-79.4,48.87222222,958,262567.8695,79.99574452,370400,287060,231500,197
2004,9,5,6,27.2,-80.2,46.3,960,258558.2909,96.99007616,370400,287060,231500,197
2004,9,5,12,27.4,-80.7,41.15555556,969,277687.6029,113.8779451,370400,266225,231500,197
2004,9,5,18,27.8,-81.7,30.86666667,975,339856.4701,134.2635477,370400,254650,231500,197
2004,9,6,0,28.1,-82.3,28.29444444,978,393181.4399,144.44144,463000,277800,324100,197
2004,9,6,6,28.6,-83.3,28.29444444,981,490171.4044,164.2100652,463000,254650,231500,197
2004,9,20,12,27.5,-78.7,15.43333333,1009,345858.664,336.6579221,NaN,NaN,NaN,200
2004,9,20,18,26.4,-79.1,12.86111111,1009,224865.0063,350.2799948,NaN,NaN,NaN,200
2004,9,21,0,26.1,-79.7,12.86111111,1009,161299.0314,34.31343046,NaN,NaN,NaN,200
2004,9,21,6,25.9,-80.6,12.86111111,1009,110752.3674,80.92274575,NaN,NaN,NaN,200
2004,9,21,12,25.8,-81.7,12.86111111,1009,148100.3546,122.9424662,NaN,NaN,NaN,200
2004,9,21,18,25.2,-82.8,12.86111111,1010,223099.0572,149.6848671,NaN,NaN,NaN,200
2004,9,22,0,24.8,-84.1,12.86111111,1010,352373.8934,179.9712061,NaN,NaN,NaN,200
2004,9,25,12,26.6,-76.9,51.44444444,957,416635.3581,33.31603652,324100,233815,138900,201
2004,9,25,18,26.9,-78.2,54.01666667,952,327634.245,50.9476231,324100,247705,157420,201
2004,9,26,0,27.1,-79.4,54.01666667,951,272463.1647,70.61729868,370400,280115,231500,201
2004,9,26,6,27.3,-80.6,48.87222222,953,266422.8427,105.0279439,370400,268540,231500,201
2004,9,26,12,27.7,-81.6,38.58333333,965,326200.9637,139.972655,444480,254650,277800,201
2004,9,26,18,28.3,-82.3,28.29444444,970,413332.009,171.9553239,444480,243075,277800,201
2005,6,10,12,23,-84.7,25.72222222,1000,466486.1553,284.2475799,324100,135813.3333,240760,207
2005,6,10,18,24.9,-85.1,28.29444444,995,452898.8096,255.6304811,324100,166680,240760,207
2005,7,8,12,20.9,-79.5,66.87777778,938,459501.7573,323.1821189,444480,201405,222240,210
2005,7,8,18,22,-80.6,61.73333333,941,322913.4115,310.7887274,444480,219925,259280,210
2005,7,9,0,22.7,-81.6,51.44444444,960,264984.449,282.184882,444480,238445,277800,210
2005,7,9,6,23.4,-82.5,38.58333333,973,254481.7332,260.1380943,444480,250020,324100,210
2005,7,9,12,24.3,-83.4,41.15555556,967,290006.3514,238.8501021,444480,250020,324100,210
2005,7,9,18,25.2,-84.2,46.3,962,363180.2206,223.6539364,463000,268540,277800,210
2005,7,10,0,26.1,-85,56.58888889,942,460266.9437,216.1023965,463000,280115,277800,210
2005,7,22,0,25.7,-75.9,20.57777778,1009,481637.7297,50.19456102,185200,50930,NaN,212
2005,7,22,6,26.2,-76.4,20.57777778,1008,446205.6066,62.11208166,185200,50930,NaN,212
2005,7,22,12,26.6,-76.8,23.15,1007,425589.9477,99.96230454,222240,55560,NaN,212
2005,7,22,18,27.4,-76.7,23.15,1006,478848.1431,130.1504514,222240,69450,NaN,212
2005,8,24,6,23.8,-76.2,15.43333333,1007,463252.2716,39.91630427,277800,NaN,NaN,217
2005,8,24,12,24.5,-76.5,18.00555556,1006,417564.8535,60.75574978,277800,111120,111120,217
2005,8,24,18,25.4,-76.9,20.57777778,1003,377419.0764,58.95582235,240760,111120,NaN,217
2005,8,25,0,26,-77.7,23.15,1000,316523.7155,45.65784284,240760,111120,NaN,217
2005,8,25,6,26.1,-78.4,25.72222222,997,258568.8293,37.17245755,240760,111120,NaN,217
2005,8,25,12,26.2,-79,28.29444444,994,216419.508,43.60495294,240760,92600,55560,217
2005,8,25,18,26.2,-79.6,30.86666667,988,176133.0717,39.0887393,240760,115750,92600,217
2005,8,26,0,25.9,-80.3,36.01111111,983,115028.7617,47.53633427,240760,106490,92600,217
2005,8,26,6,25.4,-81.3,33.43888889,987,88723.55555,119.1093616,277800,101860,55560,217
2005,8,26,12,25.1,-82,38.58333333,979,141812.306,150.9398231,277800,101860,46300,217
2005,8,26,18,24.9,-82.6,43.72777778,968,200756.4577,159.0781166,277800,111120,138900,217
2005,8,27,0,24.6,-83.3,46.3,959,273779.83,166.7930512,277800,145845,166680,217
2005,8,27,6,24.4,-84,48.87222222,950,347198.3581,180.3253181,416700,203720,240760,217
2005,8,27,12,24.4,-84.7,51.44444444,942,417169.235,191.4230835,416700,203720,240760,217
2005,8,27,18,24.5,-85.3,51.44444444,948,475958.6164,203.3579793,416700,208350,259280,217
2005,9,6,6,25.8,-78.6,12.86111111,1009,225167.5487,144.9945871,NaN,NaN,NaN,221
2005,9,6,12,26.3,-78.3,12.86111111,1010,278800.1771,137.8502119,NaN,NaN,NaN,221
2005,9,6,18,26.8,-78.3,12.86111111,1010,312819.3258,119.0794224,277800,NaN,NaN,221
2005,9,7,0,27.4,-78.5,15.43333333,1006,348369.4198,115.3529542,277800,NaN,NaN,221
2005,9,7,6,27.9,-78.8,18.00555556,1003,378761.7221,120.5683012,277800,111120,NaN,221
2005,9,7,12,28.7,-79.2,20.57777778,1000,444671.9145,130.5747512,277800,111120,NaN,221
2005,9,7,18,28.8,-79.3,23.15,997,452272.5588,116.421709,277800,76395,55560,221
2005,9,8,0,28.8,-79.3,23.15,994,452272.5588,52.98676015,277800,76395,55560,221
2005,9,8,6,28.7,-79.6,25.72222222,994,433822.3715,41.41744554,277800,92600,74080,221
2005,9,8,12,28.6,-79.6,28.29444444,988,423021.7429,299.7231732,277800,92600,74080,221
2005,9,8,18,28.6,-79.5,30.86666667,988,425483.8859,253.2907282,231500,129640,129640,221
2005,9,9,0,28.6,-79.3,33.43888889,990,431052.6268,194.1806492,231500,111120,111120,221
2005,9,9,6,28.9,-79.3,28.29444444,990,462918.3711,177.801214,277800,106490,111120,221
2005,9,20,0,23.3,-77.2,30.86666667,992,389325.6364,342.6584304,370400,152790,111120,223
2005,9,20,6,23.5,-78.8,30.86666667,990,240943.4367,329.5439799,416700,152790,111120,223
2005,9,20,12,23.7,-80.3,36.01111111,985,137505.6064,292.5462167,416700,162050,138900,223
2005,9,20,18,23.9,-81.6,43.72777778,975,150079.6358,234.8506143,416700,178255,222240,223
2005,9,21,0,24.1,-82.7,48.87222222,967,229637.6945,208.162015,416700,178255,222240,223
2005,9,21,6,24.2,-84,56.58888889,955,351741.0993,194.0210411,416700,178255,222240,223
2005,9,21,12,24.2,-85.2,61.73333333,941,470841.9397,191.3217305,416700,210665,250020,223
2005,10,5,6,27.3,-79.7,18.00555556,1006,281474.7995,132.6485035,NaN,222240,NaN,226
2005,10,5,12,28.3,-80.2,20.57777778,1004,379804.5991,144.5138037,231500,265453.3333,NaN,226
2005,10,24,0,24,-84.3,48.87222222,958,386847.1106,334.2043552,555600,324100,370400,228
2005,10,24,6,25,-83.1,56.58888889,953,251309.366,324.1028654,555600,335675,277800,228
2005,10,24,12,26.2,-81,48.87222222,950,149336.5675,251.8658822,555600,358825,277800,228
2005,10,24,18,28,-78.8,54.01666667,955,388541.6038,201.7408911,555600,358825,370400,228
2006,8,5,18,22.1,-77.6,10.28888889,1012,437482.2281,330.0189352,NaN,NaN,NaN,238
2006,8,6,0,22.4,-78.9,10.28888889,1012,328395.0583,319.3899601,231500,NaN,NaN,238
2006,8,6,6,22.8,-80.2,10.28888889,1013,237633.6559,296.9590539,NaN,NaN,NaN,238
2006,8,6,12,23.2,-81.7,7.716666667,1013,219460.8161,252.3138649,NaN,NaN,NaN,238
2006,8,29,0,21.6,-77.4,18.00555556,1007,492432.1529,351.4725932,231500,101860,55560,240
2006,8,29,6,22.4,-78.5,20.57777778,1006,351697.5047,350.2132477,231500,115750,NaN,240
2006,8,29,12,23.2,-79.3,20.57777778,1006,231478.3729,354.5164283,231500,106490,NaN,240
2006,8,29,18,23.9,-79.9,20.57777778,1005,132761.3832,358.9935338,231500,117293.3333,111120,240
2006,8,30,0,24.7,-80.4,20.57777778,1004,31013.21228,13.02443863,231500,92600,111120,240
2006,8,30,6,25.3,-80.8,20.57777778,1003,48028.17102,182.4927448,231500,92600,46300,240
2006,8,30,12,26.1,-81,18.00555556,1002,138641.7889,194.7158998,231500,111120,NaN,240
2006,8,30,18,27,-80.9,18.00555556,1001,234865.5187,196.4216018,231500,37040,NaN,240
2006,8,31,0,28.1,-80.7,18.00555556,1000,355491.1846,193.3902884,231500,92600,NaN,240
2007,5,11,6,29.1,-79.8,15.43333333,1004,473414.7325,339.6181788,NaN,NaN,NaN,245
2007,5,11,12,28.8,-79.7,12.86111111,1005,442509.8338,320.2948276,259280,NaN,NaN,245
2007,5,11,18,28.5,-79.5,12.86111111,1005,414766.4328,279.418031,NaN,NaN,NaN,245
2007,5,12,0,28.5,-79.1,12.86111111,1006,427046.4404,224.0300141,NaN,NaN,NaN,245
2007,5,12,6,28.8,-78.8,12.86111111,1006,468933.5096,200.0873586,NaN,NaN,NaN,245
2007,6,2,0,24.3,-85.2,25.72222222,997,468937.9894,313.7497425,277800,92600,148160,246
2007,6,2,6,25.1,-84.6,23.15,998,402733.3922,303.7171817,333360,106490,148160,246
